Nombre,Voto
Haiver Rincón Gutiérrez,Sí
James Hermenegildo Mosquera Torres,Sí
Jhon Fredi Valencia Caicedo,Ausente
Jhon Fredy Núñez Ramos,Sí
Jhon Jairo González Agudelo,Sí
Jorge Rodrigo Tovar Vélez,Sí
Juan Carlos Vargas Soler,Sí
Juan Pablo Salazar Rivera,Sí
Karen Astrith Manrique Olarte,Sí
Karen Juliana López Salazar,Sí
Leonor María Palencia Vega,Sí
Luis Ramiro Ricardo Buelvas,Sí
Orlando Castillo Advíncula,Ausente
Willian Ferney Aljure Martínez,Sí
Erika Tatiana Sánchez Pinto,Sí
Juan Manuel Cortés Dueñas,Sí
Marelen Castillo Torres,Sí
Ermes Evelio Pete Vivas,Sí
Norman David Bañol Álvarez,Sí
Gabriel Becerra Yáñez,Ausente
Gloria Elena Arizabaleta Corral,Sí
Ingrid Johana Aguirre Juvinao,Sí
Irma Luz Herrera Rodríguez,Ausente
Jennifer Dalley Pedraza Sandoval,Sí
Jorge Alberto Cerchiaro Figueroa,Sí
Juan Sebastián Gómez Gonzáles,Sí
Julia Miranda Londoño,Sí
Wilder Iberson Escobar Ortiz,Sí
Miguel Abraham Polo Polo,Ausente
